id;hissa_type;area;share_percentage;land_market_value;structural_compensation;horticulture_compensation;forest_compensation;solatium_money;additional_compensation;status;order_date;payment_amount;interest_rate;interest_days;transaction_id;project_land_id;survey_id
1;DIVIDED;45975;61910;62315;66676;57018;77519;95563;10451;OPEN;2022-07-16;5384;23371;56806;e-business;1;1
2;DIVIDED;96924;25555;84627;44986;98521;33099;67176;12897;CLOSED;2022-07-16;8223;1400;30675;Pataca Wooden Fresh;2;2
3;SINGLE_OWNER;55370;56222;87766;48294;13782;73113;73027;97054;OPEN;2022-07-16;4360;88389;26132;Fantastic;3;3
4;JOINT_OWNER;12610;91588;22288;20177;27169;65592;57617;62475;OPEN;2022-07-16;53677;15087;86866;bandwidth Books;4;4
5;SINGLE_OWNER;35547;97332;40799;57884;87645;3507;40912;57958;CLOSED;2022-07-16;53663;57570;78623;generate;5;5
6;DIVIDED;36939;70093;99503;21559;49577;94087;85163;87956;OPEN;2022-07-15;50941;41159;69937;framework Gloves;6;6
7;SINGLE_OWNER;6000;21515;40643;41066;25313;85951;51138;34252;OPEN;2022-07-15;76374;32474;24317;green;7;7
8;DIVIDED;41950;36781;16184;18245;23535;4481;80091;38635;OPEN;2022-07-15;98969;28890;17526;Ergonomic HDD Electronics;8;8
9;SINGLE_OWNER;31993;78733;51954;86958;88649;85467;59888;70056;OPEN;2022-07-15;10357;63168;79696;Sleek;9;9
10;DIVIDED;85837;67344;64112;2745;44090;83627;28721;16241;CLOSED;2022-07-15;65245;84421;7104;Cotton Incredible infrastructure;10;10
