id;ulpin;khasra_number;khatauni;area;land_market_value;structural_value;horticulture_value;forest_value;distance_from_city;total_land_value;village_id;unit_id;land_type_id;state_id
1;deposit maximize;virtual;Bangladesh;43758;67932;29946;97734;85314;SDD functionalities connecting;22579;1;1;1;1
2;Re-engineered Tenge;wireless Rubber;Customer Practical;77363;30300;53654;15992;40216;Mount Garden primary;38154;2;2;2;2
3;maximize;back-end Michigan Loan;SAS Forward Jersey;9301;56105;4255;16822;25547;Director utilisation;6477;3;3;3;3
4;Handmade 1080p Motorway;PCI Iceland;Kong protocol Ameliorated;6216;80514;75695;2;13396;Chips online Views;18718;4;4;4;4
5;Dynamic hack;navigating payment;copy;33737;12043;96479;59749;43452;Buckinghamshire Borders;42686;5;5;5;5
6;Refined;Metal azure Interactions;Personal Cheese Gloves;38693;11486;54580;68831;59633;Licensed;92928;6;6;6;6
7;Facilitator Tasty;Falkland;access Security;14627;83518;7299;80140;40160;Monaco invoice;94116;7;7;7;7
8;Berkshire Cotton Loaf;Handmade Meadow feed;content Account Village;27257;2791;2059;76522;89133;Loan;99693;8;8;8;8
9;teal Pants;Credit;Bedfordshire International;2015;4527;1920;25268;45914;Kansas Illinois;42872;9;9;9;9
10;Customer plum Reverse-engineered;Applications;Rupee Garden portal;11007;92268;88712;46422;40841;enhance;40932;10;10;10;10
