id;name;template_text;default_use;file;file_content_type
1;Pants;compressing Intelligent;true;../fake-data/blob/hipster.png;image/png
2;Clothing;Latvia Inlet;false;../fake-data/blob/hipster.png;image/png
3;up;scale maroon;true;../fake-data/blob/hipster.png;image/png
4;Gorgeous quantify;deposit green Slovenia;true;../fake-data/blob/hipster.png;image/png
5;efficient;action-items Wooden;false;../fake-data/blob/hipster.png;image/png
6;Avon Product;indigo Progressive;false;../fake-data/blob/hipster.png;image/png
7;Practical synthesizing;bandwidth;false;../fake-data/blob/hipster.png;image/png
8;hacking;intelligence;true;../fake-data/blob/hipster.png;image/png
9;Adaptive Car;Trail matrix;false;../fake-data/blob/hipster.png;image/png
10;background Dinar;engage Ferry Small;false;../fake-data/blob/hipster.png;image/png
