id;payment_file_id;total_payment_amount;payment_file_date;payment_file_status;khatedar_ifsc_code;payment_mode;khatedar_id;payment_advice_id;project_land_id;survey_id;bank_id;bank_branch_id;land_compensation_id;payment_file_header_id
1;21100;26921;2022-07-16;PAID;Division Assimilated;ONLINE;1;1;1;1;1;1;1;1
2;65636;36744;2022-07-15;APPROVED;Infrastructure;OTHER;2;2;2;2;2;2;2;2
3;22148;79319;2022-07-15;PAID;cross-platform Yemeni Credit;ONLINE;3;3;3;3;3;3;3;3
4;97727;91252;2022-07-16;APPROVED;Supervisor maroon Cotton;CHECQUE;4;4;4;4;4;4;4;4
5;24293;78551;2022-07-16;PENDING;program Fresh;CHECQUE;5;5;5;5;5;5;5;5
6;50572;36416;2022-07-15;APPROVED;Rustic Streamlined leverage;CHECQUE;6;6;6;6;6;6;6;6
7;498;37589;2022-07-15;PAID;quantifying;OTHER;7;7;7;7;7;7;7;7
8;42790;89590;2022-07-16;APPROVED;Soap collaborative;ONLINE;8;8;8;8;8;8;8;8
9;86777;71810;2022-07-16;PENDING;Gorgeous Greenland;ONLINE;9;9;9;9;9;9;9;9
10;33084;51920;2022-07-16;PAID;Rustic matrix;OTHER;10;10;10;10;10;10;10;10
