id;name;start_date;end_date;budget;approver_1;approver_2;approver_3
1;contextually-based Alaska Fresh;2022-07-15;2022-07-16;84548;Ville Illinois Center;payment utilize Account;Regional
2;technologies Soft Senior;2022-07-16;2022-07-15;80801;Bike;Guadeloupe digital;Malagasy Alley Practical
3;solution;2022-07-15;2022-07-15;1865;index Diverse;Brand copying;Corners Buckinghamshire Keyboard
4;Oklahoma;2022-07-15;2022-07-15;83567;Direct Radial;magenta;Assurance systemic
5;International open-source;2022-07-15;2022-07-16;78387;application;calculate back-end;program
6;input;2022-07-15;2022-07-16;6898;Corporate;invoice digital parsing;Berkshire Vision-oriented empowering
7;Small Pakistan Directives;2022-07-15;2022-07-15;64852;Borders task-force Cambridgeshire;impactful;matrix
8;Metal matrix back-end;2022-07-15;2022-07-16;11112;compelling;Cote;supply-chains
9;South;2022-07-15;2022-07-16;21771;e-services;International networks;Architect Metal
10;mission-critical connect JBOD;2022-07-16;2022-07-16;85903;Oval Technician;channels definition blue;convergence firewall Refined
