id;date;file;file_content_type;description
1;2022-07-16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;2022-07-16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;2022-07-15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;2022-07-15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;2022-07-16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;2022-07-15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;2022-07-16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;2022-07-16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;2022-07-15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;2022-07-16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
